Ticket,NF,Data Ocorrência,Ocorrência,Parceiro, Valor , Produto , Emissão ,Quantidade,Categoria Produto,UF,SKU
#30509,102259,20/04/2023,Extravio,Tecmar," R$  1.312,20 ",Painel Solar Fotovoltaico Osda ODA330-36-P Poli (330Wp),2023-03-23,2,Painel 330 Wp,BA,10091
#30509,102259,20/04/2023,Extravio,Tecmar," R$  1.022,12 ",Controlador de Carga MPPT Epever 30A 12/24V XTRA3210N-XDS2,2023-03-23,2,Controlador 30A,BA,10071
#30557,4635,18/04/2024,Extravio,Tecmar," R$  122,80 ",PERFIL 240CM PARA 1 PAINEL P. MASTER REV ,2023-03-22,4,Estrutura,SP,
#30528,102143,17/04/2023,Avaria,Tecmar," R$  212,47 ",Painel Solar Fotovoltaico Resun RSM060P (60Wp),2023-03-21,1,Painel 60 Wp,PR,10088
#30837,102002,04/05/2023,Avaria,Gran Cargo," R$  1.146,60 ",PAINEL SOLAR FOTOVOLTAICO LUXEN LNVU-550M (550WP),2023-03-20,1,Painel 550 Wp,PA,20295
#30231,102023,03/04/2023,Avaria,Tecmar," R$  279,00 ",Painel Solar Fotovoltaico Resun RSM100P (100Wp),2023-03-20,1,Painel 100 Wp,,10142
#30162,4617,29/03/2023,Avaria,Exata Cargo," R$  1.234,00 ",Painel Solar Fotovoltaico Osda ODA465-36-MH PERC Mono (465Wp),2023-03-20,1,Painel 465 Wp,PB,10147
#30321,101939,05/04/2023,Avaria,RodomaxLog," R$  1.299,00 ",PAINEL SOLAR FOTOVOLTAICO LUXEN LNVU-550M (550WP),2023-03-17,1,Painel 550 Wp,SP,20295
#30208,101957,30/03/2023,Avaria,RodomaxLog," R$  382,44 ",Painel Solar Fotovoltaico Resun RSM060P (60Wp),2023-03-17,2,Painel 60 Wp,SP,10088
email,101791,04/04/2023,Extravio,Tecmar," R$  692,37 ",Painel Solar Fotovoltaico Osda ODA280-30-P Poli (280Wp),2023-03-16,1,Carga Parcial/Total,PE,10092
#30234,101793,31/03/2023,Avaria,Mira," R$  881,10 ",Painel Solar Fotovoltaico Osda ODA420-36V-PH Poli (420Wp),2023-03-16,1,Painel 420 Wp,DF,10001946
#30152,4599,29/03/2023,Avaria,Alfa," R$  1.299,00 ",PAINEL SOLAR FOTOVOLTAICO LUXEN LNVU-550M (550WP),2023-03-16,1,Painel 550 Wp,MG,20295
#30291,101856,02/06/2023,Avaria,Solistica," R$  341,10 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-03-16,1,Painel 155 Wp,PR,10141
#30186,101676,30/03/2023,Avaria,Gran Cargo," R$  1.347,30 ",Painel Solar Fotovoltaico Resun RS7E-210M (210Wp),2023-03-15,3,Painel 210 Wp,MT,10165
email,101521,20/09/2023,Extravio,Total," R$  389,00 ",Painel Solar Fotovoltaico Resun RS6E-155M (155Wp),2023-03-13,1,Painel 155 Wp,MG,10141
email,101521,20/09/2023,Extravio,Total," R$  103,80 ",Controlador de Carga Epever LandStar série EU 10A 12/24V (LS1024EU),2023-03-13,1,Controlador 10A,MG,10075
